Account Name,PTB Score,Segment,RVP,AE,City,State,Sub-Sector,Lat,Lon,AE_Layer
ANDECO Institute NGO,3,ESB,Myron Bryant,Ryan Glubo,New York,NY,Associations and Unions,40.7127281,-74.0060152,Small Business
APDA,1,GRB,Maxwell Byrne,Samuel Fishman,Staten Island,NY,Associations and Unions,40.5834557,-74.1496048,
Accion New Mexico - no longer in use (2nd Org - Cloud Lending Org),1,GRB,Maxwell Byrne,Sharon Baldessari,New York,NY,Associations and Unions,40.7127281,-74.0060152,
Accion U.S. Network - Brewing the American Dream,1,GRB,Maxwell Byrne,Sharon Baldessari,New York,NY,Associations and Unions,40.7127281,-74.0060152,
Accion U.S. Network NPSP,1,GRB,Maxwell Byrne,Sharon Baldessari,New York,NY,Associations and Unions,40.7127281,-74.0060152,
"Accion, The U.S. Network",1,GRB,Maxwell Byrne,Sharon Baldessari,New York,NY,Associations and Unions,40.7127281,-74.0060152,
Acumen Fund - Common Ground,1,GRB,Maxwell Byrne,Andrew Prince,New York,NY,Associations and Unions,40.7127281,-74.0060152,
"Acumen Fund America, a division of Acumen Fund, Inc",1,GRB,Maxwell Byrne,Andrew Prince,New York,NY,Associations and Unions,40.7127281,-74.0060152,
"Acumen Fund, Inc. (NPSP Org)",3,GRB,Maxwell Byrne,Andrew Prince,New York,NY,Associations and Unions,40.7127281,-74.0060152,
"Acumen Fund, Inc. - Acumen Academy",1,GRB,Maxwell Byrne,Andrew Prince,New York,NY,Associations and Unions,40.7127281,-74.0060152,
"Advancement for Rural Kids, Inc.",3,GRB,Maxwell Byrne,Tyler Overcash,New York City,NY,Associations and Unions,40.7127281,-74.0060152,
Affiliates Risk Management Services (ARMS),1,GRB,Maxwell Byrne,Sharon Baldessari,New York,NY,Membership Organizations,40.7127281,-74.0060152,
Affiliates Risk Management Services Inc.,4,GRB,Maxwell Byrne,Sharon Baldessari,New York,NY,Membership Organizations,40.7127281,-74.0060152,
All Kings,1,ESB,Myron Bryant,Stephanie Gallant,New York,NY,Membership Organizations,40.7127281,-74.0060152,Small Business
Alyson Rixner Nonprofit,1,GRB,Maxwell Byrne,Sharon Baldessari,,NY,Membership Organizations,,,
America Needs You,3,GRB,Maxwell Byrne,Sharon Baldessari,New York,NY,Membership Organizations,40.7127281,-74.0060152,
American Geriatrics Society,2,ESB,Myron Bryant,Ryan Glubo,New York,NY,Associations and Unions,40.7127281,-74.0060152,Small Business
American Institute Of Chemical Engineers,3,MM,SARAH ANDREWS,Helen Lynch,New York,NY,Associations and Unions,40.7127281,-74.0060152,
American Institute of Graphic Arts,3,ESB,Myron Bryant,Ryan Glubo,New York,NY,Associations and Unions,40.7127281,-74.0060152,Small Business
American Kennel Club - Service,3,ENTR,Tricia Lane,Jason Bass,New York,NY,Membership Organizations,40.7127281,-74.0060152,Enterprise
"American Parkinson Disease Association, Inc.",1,GRB,Maxwell Byrne,Samuel Fishman,Staten Island,NY,Associations and Unions,40.5834557,-74.1496048,
American Society For The Prevention Of Cruelty To Animals- MC Org,2,ENTR,Tricia Lane,Jason Bass,New York,NY,Membership Organizations,40.7127281,-74.0060152,Enterprise
Americas Society (dupe),1,MM,Jessica Lanzarone,Jessica Baltusis,New York,NY,Membership Organizations,40.7127281,-74.0060152,Mid-Market
Anthony Mincone Personal Account,1,ESB,Myron Bryant,Ryan Glubo,Manhatten .,NY,Membership Organizations,43.2648007,-76.1942658,Small Business
Aperio Philanthropy,1,GRB,Maxwell Byrne,Andrew Prince,New York,NY,Membership Organizations,40.7127281,-74.0060152,
Apex for Youth,4,MM,Jessica Lanzarone,Chris Cianciola,New York,NY,Membership Organizations,40.7127281,-74.0060152,Mid-Market
Artists Striving To End Poverty,1,ESB,Myron Bryant,Ryan Glubo,New York,NY,Membership Organizations,40.7127281,-74.0060152,Small Business
Artists Striving to End Poverty (2nd Org),2,ESB,Myron Bryant,Ryan Glubo,New York,NY,Membership Organizations,40.7127281,-74.0060152,Small Business
Ascendus Inc.,4,GRB,Maxwell Byrne,Sharon Baldessari,New York,NY,Associations and Unions,40.7127281,-74.0060152,
"Asphalt Green, Inc.",5,MM,Jessica Lanzarone,Chris Cianciola,New York,NY,Membership Organizations,40.7127281,-74.0060152,Mid-Market
Aspira Of New York Inc.,3,GRB,Maxwell Byrne,Sharon Baldessari,New York,NY,Associations and Unions,40.7127281,-74.0060152,
"Aspira Of New York,Inc",3,GRB,Maxwell Byrne,Sharon Baldessari,New York,NY,Membership Organizations,40.7127281,-74.0060152,
Association Pour Le Development de Sinta Inc.,1,ESB,Myron Bryant,Stephanie Gallant,Brooklyn,NY,Associations and Unions,40.6526006,-73.9497211,Small Business
Association of Black Foundation Executives Inc,2,ESB,Myron Bryant,Ryan Glubo,New York,NY,Associations and Unions,40.7127281,-74.0060152,Small Business
Association of Fundraising Professionals of Western New York,1,MM,SARAH ANDREWS,Helen Lynch,Buffalo,NY,Associations and Unions,42.8867166,-78.8783922,
Association of Junior Leagues,1,GRB,Maxwell Byrne,Sharon Baldessari,New York,NY,Associations and Unions,40.7127281,-74.0060152,
Auburn Seminary,2,GRB,Maxwell Byrne,Sharon Baldessari,New York,NY,Membership Organizations,40.7127281,-74.0060152,
Auburn Theological Seminary (Sage Intaact),1,GRB,Maxwell Byrne,Sharon Baldessari,New York,NY,Membership Organizations,40.7127281,-74.0060152,
BOBBI AND THE STRAYS INC,1,GRB,Maxwell Byrne,Samuel Fishman,New York,NY,Membership Organizations,40.7127281,-74.0060152,
Baltic Street Aeh Inc,1,GRB,Maxwell Byrne,Andrew Prince,Brooklyn,NY,Associations and Unions,40.6526006,-73.9497211,
Beat the Streets Wrestling Inc,1,ESB,Myron Bryant,Ryan Glubo,New York,NY,Membership Organizations,40.7127281,-74.0060152,Small Business
"Bed Stuy's Project Re-Generation, Inc.",1,GRB,Maxwell Byrne,Andrew Prince,Brooklyn,NY,Membership Organizations,40.6526006,-73.9497211,
Beverly Gray Business Exchange Center,1,ESB,Myron Bryant,Tyler Bryant,Buffalo,NY,Associations and Unions,42.8867166,-78.8783922,Small Business
Beyond Sport,1,GRB,Maxwell Byrne,Andrew Prince,New York,NY,Membership Organizations,40.7127281,-74.0060152,
"Black Veterans for Social Justice, Inc.",1,MM,Jessica Lanzarone,Evan Lang,Brooklyn,NY,Associations and Unions,40.6526006,-73.9497211,Mid-Market
Bob Woodruff Family Foundation,3,GRB,Maxwell Byrne,Andrew Prince,New York,NY,Associations and Unions,40.7127281,-74.0060152,
Bob Woodruff Family Foundation (Grantmaking Instance),4,GRB,Maxwell Byrne,Andrew Prince,New York,NY,Associations and Unions,40.7127281,-74.0060152,
Bob Woodruff Family Foundation (National Veteran Intermediary),1,GRB,Maxwell Byrne,Andrew Prince,New York,NY,Associations and Unions,40.7127281,-74.0060152,
Boy Scouts of America,1,GRB,Maxwell Byrne,Sharon Baldessari,Medford,NY,Membership Organizations,40.8228192,-72.9887443,
Boys & Girls Club of Mt Vernon NY Inc,3,ENTR,JUSTIN SCHUMER,Merrill Oakes,Mount Vernon,NY,Membership Organizations,40.9125085,-73.8386504,
Boys & Girls Club of Suffolk County Inc,1,ENTR,JUSTIN SCHUMER,Merrill Oakes,Port Jefferson,NY,Membership Organizations,40.9465118,-73.0691257,
Boys & Girls Clubs of Mt. Vernon,1,ENTR,JUSTIN SCHUMER,Merrill Oakes,Mount Vernon,NY,Membership Organizations,40.9125085,-73.8386504,
Boys Hope Girls Hope,1,GRB,Maxwell Byrne,Andrew Prince,Brooklyn,NY,Membership Organizations,40.6526006,-73.9497211,
Bronx Lacrosse,2,ESB,Myron Bryant,Tyler Bryant,Purchase,NY,Membership Organizations,41.0409305,-73.7145746,Small Business
Bronx Rising Initiative,1,ESB,Myron Bryant,Ryan Glubo,New York,NY,Membership Organizations,40.7127281,-74.0060152,Small Business
Brooklyn Alliance,3,GRB,Maxwell Byrne,Andrew Prince,Brooklyn,NY,Associations and Unions,40.6526006,-73.9497211,
"Brownsville Think Tank Matters, Inc.",1,ESB,Myron Bryant,Stephanie Gallant,Brooklyn,NY,Membership Organizations,40.6526006,-73.9497211,Small Business
"Building Beats, Inc.",1,ESB,Myron Bryant,Stephanie Gallant,Brooklyn,NY,Membership Organizations,40.6526006,-73.9497211,Small Business
"Building Homes For Heroes, Inc.",1,ESB,Myron Bryant,Tyler Bryant,Island Park,NY,Associations and Unions,40.6042705,-73.6554078,Small Business
COLLEGE ART ASSOCIATION OF AMERICA INC,1,GRB,Maxwell Byrne,Andrew Prince,New York,NY,Associations and Unions,40.7127281,-74.0060152,
COMMUNITY IMPACT,4,MM,Jessica Lanzarone,Chris Cianciola,New York,NY,Membership Organizations,40.7127281,-74.0060152,Mid-Market
CREO Syndicate,3,ESB,Myron Bryant,Ryan Glubo,New York,NY,Associations and Unions,40.7127281,-74.0060152,Small Business
CSP-AB,4,GRB,Maxwell Byrne,Tyler Overcash,New York,NY,Associations and Unions,40.7127281,-74.0060152,
CareDesignNY,3,ENTR,Justin Simon,Linda Davis,Albany,NY,Membership Organizations,42.6511674,-73.754968,Enterprise
Carmelite Sisters For The Aged and Infirm,3,MM,Jessica Lanzarone,Jessica Baltusis,Germantown,NY,Associations and Unions,42.1345339,-73.8917982,Mid-Market
Catchafire,2,GRB,Maxwell Byrne,Sharon Baldessari,New York,NY,Associations and Unions,40.7127281,-74.0060152,
Center for Chemical Process Safety,1,MM,SARAH ANDREWS,Helen Lynch,New York,NY,Associations and Unions,40.7127281,-74.0060152,
Center for Donation and Transplant,1,ENTR,Tricia Lane,Kurt Robinson,Albany,NY,Associations and Unions,42.6511674,-73.754968,Enterprise
Center for Justice Innovation,4,ENTR,Tricia Lane,Jason Bass,New York,NY,Associations and Unions,40.7127281,-74.0060152,Enterprise
Change Summer,3,ESB,Myron Bryant,Ryan Glubo,New York,NY,Membership Organizations,40.7127281,-74.0060152,Small Business
Chdfs Inc,4,GRB,Maxwell Byrne,Andrew Prince,New York,NY,Membership Organizations,40.7127281,-74.0060152,
Chess in the Schools,3,GRB,Maxwell Byrne,Andrew Prince,New York,NY,Membership Organizations,40.7127281,-74.0060152,
Children of Promise NYC,3,GRB,Maxwell Byrne,Andrew Prince,Brooklyn,NY,Membership Organizations,40.6526006,-73.9497211,
Childrens Health and Research Foundation Inc,1,GRB,Maxwell Byrne,Sharon Baldessari,White Plains,NY,Membership Organizations,41.0339862,-73.7629097,
Christodora,2,GRB,Maxwell Byrne,Andrew Prince,New York,NY,Membership Organizations,40.7127281,-74.0060152,
Cities for Financial Empowerment Fund,1,ESB,Myron Bryant,Ryan Glubo,New York,NY,Associations and Unions,40.7127281,-74.0060152,Small Business
City Growers Inc,1,GRB,Maxwell Byrne,Andrew Prince,Brooklyn,NY,Membership Organizations,40.6526006,-73.9497211,
City Squash,1,GRB,Maxwell Byrne,Sharon Baldessari,New York,NY,Membership Organizations,40.7127281,-74.0060152,
Clear Path for Veterans,2,GRB,Maxwell Byrne,Andrew Prince,Chittenango,NY,Associations and Unions,43.0458574,-75.8692429,
Clear Path for Veterans (2nd Instance),1,GRB,Maxwell Byrne,Andrew Prince,Chittenango,NY,Associations and Unions,43.0458574,-75.8692429,
Clear Path for Veterans (2nd),1,GRB,Maxwell Byrne,Andrew Prince,Chittenango,NY,Associations and Unions,43.0458574,-75.8692429,
Clear Path for Veterans (DUP),1,GRB,Maxwell Byrne,Andrew Prince,Chittenango,NY,Associations and Unions,43.0458574,-75.8692429,
Coach Across America at Up2Us,1,MM,Bryan Rees,Hilary Kersten,New York,NY,Membership Organizations,40.7127281,-74.0060152,Mid-Market
Coalition for Rainforest Nation (2nd org),1,ESB,Myron Bryant,Ryan Glubo,New York,NY,Membership Organizations,40.7127281,-74.0060152,Small Business
Collaborative Family Healthcare Coalition (2nd Org),3,ESB,Myron Bryant,Damian Broomes,Rochester,NY,Membership Organizations,43.157285,-77.615214,Small Business
College for Every Student Inc,1,GRB,Maxwell Byrne,Samuel Fishman,Essex,NY,Membership Organizations,44.0638879,-73.7542043,
Community Resource Exchange,2,GRB,Maxwell Byrne,Andrew Prince,New York,NY,Associations and Unions,40.7127281,-74.0060152,
"Computers For Children, Inc.",1,ESB,Myron Bryant,Tyler Bryant,Buffalo,NY,Membership Organizations,42.8867166,-78.8783922,Small Business
DREAM - formerly Harlem RBI,2,MM,Bryan Rees,Hilary Kersten,New York,NY,Membership Organizations,40.7127281,-74.0060152,Mid-Market
David Lynch Foundation,1,GRB,Maxwell Byrne,Andrew Prince,New York,NY,Associations and Unions,40.7127281,-74.0060152,
David's Refuge,1,ESB,Myron Bryant,Tyler Bryant,Manlius,NY,Membership Organizations,43.0020107,-75.9768632,Small Business
DePaul Housing Mgmt.,1,GRB,Maxwell Byrne,Andrew Prince,Albany,NY,Associations and Unions,42.6511674,-73.754968,
ELMCREST CHILDRENS CENTER INC,3,MM,Bryan Rees,Hilary Kersten,Syracuse,NY,Membership Organizations,43.0481221,-76.1474244,Mid-Market
EMpower,2,ESB,Myron Bryant,Ryan Glubo,New York,NY,Membership Organizations,40.7127281,-74.0060152,Small Business
EMpower the EMF,1,ESB,Myron Bryant,Ryan Glubo,New York,NY,Membership Organizations,40.7127281,-74.0060152,Small Business
EMpowerEMF,1,ESB,Myron Bryant,Ryan Glubo,New York,NY,Membership Organizations,40.7127281,-74.0060152,Small Business
ESD Association,1,MM,Jessica Lanzarone,Jessica Baltusis,Rome,NY,Associations and Unions,43.2102196,-75.4583956,Mid-Market
East Flatbush Village Inc,1,GRB,Maxwell Byrne,Andrew Prince,Brooklyn,NY,Membership Organizations,40.6526006,-73.9497211,
East New York Urban Youth Corps Hdfc,1,GRB,Maxwell Byrne,Andrew Prince,Brooklyn,NY,Membership Organizations,40.6526006,-73.9497211,
Economic Club of New York,1,ESB,Myron Bryant,Ryan Glubo,New York,NY,Associations and Unions,40.7127281,-74.0060152,Small Business
Education for Liberation Network,1,GRB,Maxwell Byrne,Andrew Prince,Brooklyn,NY,Membership Organizations,40.6526006,-73.9497211,
Effie Worldwide,1,ESB,Myron Bryant,Ryan Glubo,New York,NY,Associations and Unions,40.7127281,-74.0060152,Small Business
Effie Worldwide Inc,1,ESB,Myron Bryant,Ryan Glubo,New York,NY,Associations and Unions,40.7127281,-74.0060152,Small Business
Empower Oversight,1,ESB,Myron Bryant,Ryan Glubo,New York,NY,Membership Organizations,40.7127281,-74.0060152,Small Business
Engineering for Change,1,ENTR,Tricia Lane,Anish Patel,New York,NY,Associations and Unions,40.7127281,-74.0060152,Enterprise
Engineers Without Borders NY CUNY Chapter,1,GRB,Salma Ferdowsi,James Coburn,New York,NY,Associations and Unions,40.7127281,-74.0060152,Small Business
Environmental Defense Fund,5,ENTR,JUSTIN SCHUMER,Shane Carter,New York,NY,Associations and Unions,40.7127281,-74.0060152,
"EquiCenter, Inc.",4,GRB,Maxwell Byrne,Andrew Prince,Honeoye Falls,NY,Membership Organizations,42.9522855,-77.5902759,
Equinox Inc,3,MM,Bryan Rees,Hilary Kersten,Albany,NY,Associations and Unions,42.6511674,-73.754968,Mid-Market
Esports Foundation Inc,1,ESB,Myron Bryant,Tyler Bryant,Woodside,NY,Membership Organizations,40.7453798,-73.9054145,Small Business
Exalt Youth,2,ESB,Myron Bryant,Ryan Glubo,New York,NY,Membership Organizations,40.7127281,-74.0060152,Small Business
Exalt Youth NPC Instance,5,ESB,Myron Bryant,Ryan Glubo,New York,NY,Membership Organizations,40.7127281,-74.0060152,Small Business
Executive Council of New York,1,ESB,Myron Bryant,Ryan Glubo,New York,NY,Associations and Unions,40.7127281,-74.0060152,Small Business
Exhale to Inhale,1,ESB,Myron Bryant,Ryan Glubo,New York,NY,Associations and Unions,40.7127281,-74.0060152,Small Business
FALLON HEALTH WEINBERG INC,1,GRB,Maxwell Byrne,Andrew Prince,Amherst,NY,Associations and Unions,42.9783924,-78.7997616,
FJC- A Foundation of Philanthropic Funds,5,GRB,Maxwell Byrne,Sharon Baldessari,New York,NY,Associations and Unions,40.7127281,-74.0060152,
FRIENDS OF ISRAEL SCOUTS INC,5,GRB,Maxwell Byrne,Andrew Prince,New York,NY,Membership Organizations,40.7127281,-74.0060152,
FUND FOR THE CITY OF NEW YORK INC,1,ENTR,Tricia Lane,Jason Bass,New York,NY,Associations and Unions,40.7127281,-74.0060152,Enterprise
Farms for City Kids Foundation Inc,1,GRB,Maxwell Byrne,Sharon Baldessari,Prt Washingtn,NY,Membership Organizations,,,
Fast Forward Fund,1,ENTR,Tricia Lane,Jason Bass,New York,NY,Associations and Unions,40.7127281,-74.0060152,Enterprise
Foundation for Jewish Camp,3,GRB,Maxwell Byrne,Sharon Baldessari,New York,NY,Membership Organizations,40.7127281,-74.0060152,
Freelancer's Union - FIC Org,1,MM,Jessica Lanzarone,Evan Lang,Brooklyn,NY,Associations and Unions,40.6526006,-73.9497211,Mid-Market
Freelancers Union,4,MM,Jessica Lanzarone,Evan Lang,Brooklyn,NY,Associations and Unions,40.6526006,-73.9497211,Mid-Market
Friends of Lasdon Park and Arboretum,2,GRB,Maxwell Byrne,Sharon Baldessari,Katonah,NY,Membership Organizations,41.2558715,-73.6847453,
Friends of the Children New York,1,GRB,Maxwell Byrne,Sharon Baldessari,New York,NY,Membership Organizations,40.7127281,-74.0060152,
Fund For The City of New York,3,ENTR,Tricia Lane,Jason Bass,New York,NY,Associations and Unions,40.7127281,-74.0060152,Enterprise
GIRL SCOUT COUNCIL OF GREATER NEW YORK INC,3,ENTR,Tricia Lane,William Hranchak,New York,NY,Membership Organizations,40.7127281,-74.0060152,Enterprise
GIRL SCOUTS HEART OF THE HUDSON INC,5,ENTR,Tricia Lane,William Hranchak,Montgomery,NY,Membership Organizations,42.8941269,-74.4099745,Enterprise
GIRL SCOUTS OF NYPENN PATHWAYS INC,1,ENTR,Tricia Lane,William Hranchak,Syracuse,NY,Membership Organizations,43.0481221,-76.1474244,Enterprise
GIRL SCOUTS OF WESTERN NEW YORK INC,3,ENTR,Tricia Lane,William Hranchak,Buffalo,NY,Membership Organizations,42.8867166,-78.8783922,Enterprise
GLOBAL KIDS INC,4,MM,Jessica Lanzarone,Chris Cianciola,New York,NY,Membership Organizations,40.7127281,-74.0060152,Mid-Market
GOAL- Giving Open Access to Learning,1,GRB,Maxwell Byrne,Sharon Baldessari,New York,NY,Membership Organizations,40.7127281,-74.0060152,
Gay and Lesbian Alliance Against Defamation,1,GRB,Maxwell Byrne,Sharon Baldessari,New York,NY,Membership Organizations,40.7127281,-74.0060152,
Gift of Life Bone Marrow Registry,3,GRB,Cisco Torres,Jennifer Hicks,New York,NY,Associations and Unions,40.7127281,-74.0060152,Small Business
"Girl Scouts Of Nassau County, Inc.",1,ENTR,Tricia Lane,William Hranchak,Garden City,NY,Membership Organizations,40.7266477,-73.6343052,Enterprise
Girl Scouts Of Northeastern New York Inc.,3,ENTR,Tricia Lane,William Hranchak,Albany,NY,Membership Organizations,42.6511674,-73.754968,Enterprise
Girl Scouts of the USA,3,ENTR,Tricia Lane,William Hranchak,New York,NY,Membership Organizations,40.7127281,-74.0060152,Enterprise
Girl Scouts of the United States of America,3,ENTR,Tricia Lane,William Hranchak,New York,NY,Membership Organizations,40.7127281,-74.0060152,Enterprise
Girl Scouts of the United States of America 3 (Re-Org),3,ENTR,Tricia Lane,William Hranchak,New York,NY,Membership Organizations,40.7127281,-74.0060152,Enterprise
Girls Incorporated Of New York City,1,MM,Jessica Lanzarone,Jessica Baltusis,New York,NY,Membership Organizations,40.7127281,-74.0060152,Mid-Market
Girls Scouts,1,ENTR,Tricia Lane,William Hranchak,New York,NY,Membership Organizations,40.7127281,-74.0060152,Enterprise
Girls Who Invest,3,ESB,Myron Bryant,Ryan Glubo,New York,NY,Associations and Unions,40.7127281,-74.0060152,Small Business
Giving Alternative Learners Uplifting Opportunities - Gallop NYC,3,GRB,Maxwell Byrne,Samuel Fishman,Forest Hills,NY,Membership Organizations,40.7231009,-73.8466125,
Glasswing International USA,1,MM,Jessica Lanzarone,Fernanda Ubatuba,New York,NY,Membership Organizations,40.7127281,-74.0060152,Mid-Market
Globalhood - 2nd Instance,1,GRB,Maxwell Byrne,Sharon Baldessari,New York,NY,Membership Organizations,40.7127281,-74.0060152,
Globalhood Inc,1,GRB,Maxwell Byrne,Sharon Baldessari,New York,NY,Membership Organizations,40.7127281,-74.0060152,
Grantmakers in the Arts,5,ESB,Myron Bryant,Tyler Bryant,New York,NY,Associations and Unions,40.7127281,-74.0060152,Small Business
"Greater New York Councils, Boy Scouts of America",4,MM,Jessica Lanzarone,Chris Cianciola,New York,NY,Membership Organizations,40.7127281,-74.0060152,Mid-Market
HAMASPIK OF ORANGE COUNTY INC,3,MM,Jessica Lanzarone,Jessica Baltusis,Monroe,NY,Associations and Unions,41.3304767,-74.1866348,Mid-Market
